"month","day","service","temp","pressure","humidity","wind_speed","wind_deg","rain_3h","clouds_all","weekday_Monday","weekday_Saturday","weekday_Sunday","weekday_Thursday","weekday_Tuesday","weekday_Wednesday","weather_main_Clouds","weather_main_Drizzle","weather_main_Fog","weather_main_Mist","weather_main_Rain","weather_main_Snow"
5,27,103,295.256796116505,1022.23300970874,52.8155339805825,3.30097087378641,206.339805825243,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,28,86,294.522093023256,1014.36046511628,61.3488372093023,5.54651162790698,231.395348837209,0,12.046511627907,0,0,1,0,0,0,0,0,0,0,0,0
5,29,103,287.509223300971,1013.02912621359,86.0388349514563,1.98058252427184,275.825242718447,0,12.621359223301,1,0,0,0,0,0,0,0,0,0,0,0
5,30,104,291.351923076923,1008.58653846154,84.3846153846154,4.95192307692308,229.230769230769,0,60.8076923076923,0,0,0,0,1,0,1,0,0,0,0,0
5,31,276,287.44347826087,1013.3152173913,66.0434782608696,10.0289855072464,281.666666666667,0,11.6811594202899,0,0,0,0,0,1,1,0,0,0,0,0
6,1,204,288.228431372549,1018.26470588235,55.8725490196078,6.63235294117647,297.352941176471,0,0.980392156862745,0,0,0,1,0,0,0,0,0,0,0,0
6,2,218,289.489449541284,1018.28440366972,62.4724770642202,3.1743119266055,251.926605504587,0,29.8532110091743,0,0,0,0,0,0,1,0,0,0,0,0
6,3,158,287.460126582278,1015.22151898734,80.4620253164557,5.56329113924051,124.810126582278,0,32.0506329113924,0,1,0,0,0,0,1,0,0,0,0,0
6,4,86,286.68488372093,1008.96511627907,88.453488372093,3.05813953488372,225.348837209302,0.69,49.0116279069767,0,0,1,0,0,0,1,0,0,0,0,0
6,5,123,289.784146341463,1011.84552845528,61.3821138211382,4.36585365853659,223.658536585366,0,28.0650406504065,1,0,0,0,0,0,0,0,0,0,0,0
6,6,112,289.346428571429,1002.82142857143,77.2321428571429,7.47321428571429,123.839285714286,61.05,73.3928571428571,0,0,0,0,1,0,0,0,0,0,0,0
6,7,125,285.606,1002.688,84.408,6.528,202.272,10.5125,80.384,0,0,0,0,0,1,0,0,0,0,1,0
6,8,159,288.445597484277,1012.68553459119,72.0188679245283,5.52830188679245,229.188679245283,46.91,86.7169811320755,0,0,0,1,0,0,0,0,0,0,1,0
6,9,153,290.71862745098,1010.28758169935,79.1241830065359,4.86928104575163,142.81045751634,61.535,68.1045751633987,0,0,0,0,0,0,0,0,0,1,0,0
6,10,93,289.687634408602,1017.69892473118,69.5268817204301,2.87096774193548,256.559139784946,0,37.6774193548387,0,1,0,0,0,0,1,0,0,0,0,0
6,11,33,294.45303030303,1014.54545454545,63.030303030303,5.63636363636364,217.878787878788,0,43.5151515151515,0,0,1,0,0,0,1,0,0,0,0,0
6,12,75,288.056666666667,1005.93333333333,78.3333333333333,7.53333333333333,264.133333333333,0,81.7066666666667,1,0,0,0,0,0,1,0,0,0,0,0
6,13,129,288.336046511628,1010.86821705426,70.8217054263566,8.35658914728682,289.37984496124,0,13.6744186046512,0,0,0,0,1,0,1,0,0,0,0,0
